Title,ISBN,Goodreads Book ID
Innocent in Death ,9780399154010.0,74033.Innocent_in_Death?from_search=true&from_srp=true&qid=nBkrygjrtP&rank=1.innocent-in-death
The Zookeeper's Wife,9780393354256.0,32722510.the-zookeepers-wife
"Whatever You Do, Don't Run: True Tales Of A Botswana Safari Guide",9780762745654.0,891224.Whatever_You_Do_Don_t_Run?from_search=true&from_srp=true&qid=cxAg3h5JqW&rank=1.whatever-you-do-dont-run-true-tales-of-a-botswana-safari-guide
Nation,9780385613705.0,1097.Fast_Food_Nation?from_search=true&from_srp=true&qid=LuJ6xwMeWT&rank=1.nation
Flow Down Like Silver,9780975925591.0,6801755.flow-down-like-silver
Shadowland ,9780312590444.0,6581511.shadowland
Twenties Girl,9780385342025.0,6063187.twenties-girl
Under the Dome,9781439148501.0,6320534.under-the-dome
The Weed That Strings the Hangman's Bag ,9780385342315.0,6777616.the-weed-that-strings-the-hangmans-bag
Ecstasy Unveiled ,9780446556828.0,6660747.ecstasy-unveiled
"Game Change: Obama and the Clintons, McCain and Palin, and the Race of a Lifetime",9780061733635.0,6694937.game-change-obama-and-the-clintons-mccain-and-palin-and-the-race-of-a-lifetime
The Iron Queen ,9780373210183.0,8685612.the-iron-queen
A Dance with Dragons ,,10664113.a-dance-with-dragons
Ready Player One ,9780307887436.0,9969571.ready-player-one
Hard Bitten ,9780451233325.0,9581001.hard-bitten
Magic Slays ,9780441020423.0,8559047.magic-slays
Starcrossed ,9780062011992.0,9462795.starcrossed
Iron Crowned ,9780553826104.0,8709525.iron-crowned
City of Lost Souls ,9781442416864.0,8755776.city-of-lost-souls
Lover Reborn ,9780451235848.0,10993282.lover-reborn
The Serpent's Shadow ,9781423140573.0,12893742.the-serpents-shadow
The Immortal Rules ,9780373210510.0,10215349.the-immortal-rules
Wicked Nights ,9780373776986.0,12900491.wicked-nights
Wool Omnibus ,,13453029.wool-omnibus
Twisted Perfection ,9780988301320.0,17333880.twisted-perfection
Beneath This Man ,,18149927.beneath-this-man
Prodigy ,9780399256769.0,16287469.prodigy
The Proposal ,,37584991.the-proposal
Bad Things ,,60093519.bad-things
Boundless ,9780061996207.0,13049981.boundless
Light in the Shadows ,,17155039.light-in-the-shadows
Black Lies,,63336417.black-lies
Legal Briefs ,9780989598460.0,22926485.legal-briefs
Magic Breaks ,9780425256220.0,12119529.magic-breaks
The Great War of Hind ,9789382665465.0,25927416.the-great-war-of-hind
Harry Potter and the Cursed Child: Parts One and Two ,,29056083.harry-potter-and-the-cursed-child-parts-one-and-two
Lady Midnight ,9781442468351.0,25494343.lady-midnight
A Gathering of Shadows ,9780765376473.0,20764879.a-gathering-of-shadows
The Passenger,9781451686630.0,40718386.the-passenger
A Mother's Reckoning: Living in the Aftermath of Tragedy,9781101902769.0,25937671.a-mothers-reckoning-living-in-the-aftermath-of-tragedy
Sebring ,,211647076.sebring
They Both Die at the End,9780062457790.0,33385229.they-both-die-at-the-end
The Upside of Unrequited ,9780062348708.0,30653853.the-upside-of-unrequited
Waking Gods ,9781101886724.0,30134847.waking-gods
A List of Cages,9781484763803.0,25613472.a-list-of-cages
The Roanoke Girls,9781101906668.0,30689335.the-roanoke-girls
"Dear Ijeawele, or A Feminist Manifesto in Fifteen Suggestions",,33585392.dear-ijeawele-or-a-feminist-manifesto-in-fifteen-suggestions
Kingdom of Ash ,9781619636101.0,76715522.kingdom-of-ash
A Reaper at the Gates ,9780448494500.0,213075365.a-reaper-at-the-gates
The Poppy War ,9780062662590.0,35068705.the-poppy-war
My Torin,,36685321.my-torin
The Kingdom of Copper ,9780008239442.0,39988431.the-kingdom-of-copper
The Gilded Wolves ,9781250144546.0,39863498.the-gilded-wolves
Shout,9780698195264.0,49247242.shout
The House in the Cerulean Sea ,,45047384.the-house-in-the-cerulean-sea
Boyfriend Material ,9781728206141.0,50225678.boyfriend-material
Transcendent Kingdom,,48570454.transcendent-kingdom
Cemetery Boys ,9781250250469.0,52339313.cemetery-boys
Dear Ava,,50900667.dear-ava
The Rose Code,9780062943477.0,53914938.the-rose-code
Rule of Wolves ,9781510109186.0,36307674.rule-of-wolves
The Push,9781984881663.0,52476830.the-push
The Spanish Love Deception ,9781668002537.0,54189398.the-spanish-love-deception
Local Woman Missing,9780778389446.0,57361474.local-woman-missing
It Happened One Summer ,9780063045651.0,55659629.it-happened-one-summer
The Hill We Climb: An Inaugural Poem for the Country,9780593465271.0,56914101.the-hill-we-climb-an-inaugural-poem-for-the-country
The Book of Cold Cases,9780440000211.0,58371432.the-book-of-cold-cases
Notes on an Execution,9780063052734.0,57773248.notes-on-an-execution
Young Mungo,9780802159557.0,58891551.young-mungo
Where the Drowned Girls Go ,9781250213624.0,57693537.where-the-drowned-girls-go
The Christie Affair,9781250274618.0,57693165.the-christie-affair
The Change,9780063144040.0,22318578.the-change
The Stolen Heir ,9780316592703.0,61198133.the-stolen-heir
The Seven Year Slip,,62926938.the-seven-year-slip
Clytemnestra,9781728268231.0,61361681.clytemnestra
A Soul of Ash and Blood ,9781957568461.0,63847274.a-soul-of-ash-and-blood
The Last Devil to Die ,9780241512449.0,62226126.the-last-devil-to-die
The Love Wager ,,60487511.the-love-wager
Getting to Yes: Negotiating Agreement Without Giving In,9780140157352.0,313605.Getting_to_Yes?from_search=true&from_srp=true&qid=l8XrltgUFj&rank=1.getting-to-yes-negotiating-agreement-without-giving-in
Truth for Germany: The Guilt Question of the Second World War,9783922252115.0,123747193.truth-for-germany-the-guilt-question-of-the-second-world-war
A Visit to William Blake's Inn: Poems for Innocent and Experienced Travelers,9780152938222.0,530582.A_Visit_to_William_Blake_s_Inn?from_search=true&from_srp=true&qid=I8pflvUuDF&rank=1.a-visit-to-william-blakes-inn-poems-for-innocent-and-experienced-travelers
If There Be Thorns ,9780671729455.0,226706.If_There_Be_Thorns?from_search=true&from_srp=true&qid=TXQdJjjKoO&rank=1.if-there-be-thorns
Agua Quemada,9789707100114.0,1034558.Agua_Quemada?from_search=true&from_srp=true&qid=IHuzGrVqAE&rank=1.agua-quemada
The Complete Poems,9780395957769.0,23919.The_Complete_Stories_and_Poems?from_search=true&from_srp=true&qid=Fkaldu3m4R&rank=1.the-complete-poems
When the Bough Breaks ,9780345466600.0,185911.When_the_Bough_Breaks?from_search=true&from_srp=true&qid=WkIId28rOl&rank=1.when-the-bough-breaks
Follow the River,9780345338549.0,138872.Follow_the_River?from_search=true&from_srp=true&qid=tS6hgGxVnk&rank=1.follow-the-river
The Atlas of Middle-Earth,9780618126996.0,92003.The_Atlas_of_Middle_Earth?from_search=true&from_srp=true&qid=c8sMKT4tDz&rank=1.the-atlas-of-middle-earth
Loitering with Intent,9780811214742.0,6075924.loitering-with-intent
"What's to Become of the Boy? Or, Something to Do with Books",9780810112087.0,69884.What_s_to_Become_of_the_Boy_Or_Something_to_Do_with_Books?from_search=true&from_srp=true&qid=DnQdPURRe7&rank=1.whats-to-become-of-the-boy-or-something-to-do-with-books
True West,,206893.True_West?from_search=true&from_srp=true&qid=dJaYAMrdBX&rank=1.true-west
The Elementals,9780380783601.0,17332556.the-elementals
Murder Goes Mumming ,9780385178877.0,826830.Murder_Goes_Mumming?from_search=true&from_srp=true&qid=KYpcJixq7e&rank=1.murder-goes-mumming
Death of an Englishman ,9781569472545.0,676151.Death_of_an_Englishman?from_search=true&from_srp=true&qid=zcrwDcmQxF&rank=1.death-of-an-englishman
A Minor Apocalypse,9781564782175.0,607340.A_Minor_Apocalypse?from_search=true&from_srp=true&qid=SlJ9GgCkEQ&rank=1.a-minor-apocalypse
"A Wild Patience Has Taken Me This Far: Poems, 1978-1981",9780393000726.0,1605489.A_Wild_Patience_Has_Taken_Me_This_Far?from_search=true&from_srp=true&qid=8W8OiInP1J&rank=1.a-wild-patience-has-taken-me-this-far-poems-1978-1981
Resurrection Row  ,9780449210673.0,1241082.Resurrection_Row?from_search=true&from_srp=true&qid=cSUHSjM7YA&rank=1.resurrection-row
Rhinestone Sharecropping,9780918408198.0,1649390.Rhinestone_Sharecropping?from_search=true&from_srp=true&qid=rMSYv3JCXE&rank=1.rhinestone-sharecropping
"On history, heritage and religion",,3852903.on-history-heritage-and-religion
Ain't I a Woman: Black Women and Feminism,9780896081291.0,250792.Ain_t_I_a_Woman?from_search=true&from_srp=true&qid=JerXKrnAy5&rank=1.aint-i-a-woman-black-women-and-feminism
They Thirst,9780913165607.0,462658.They_Thirst?from_search=true&from_srp=true&qid=ApydIPpMIX&rank=1.they-thirst
The Old Priory,9780380623808.0,688986.The_Old_Priory?from_search=true&from_srp=true&qid=jfTFOMNU5W&rank=1.the-old-priory
Brain,9780451157973.0,59571699.brain
After Man: A Zoology of the Future,9780312194338.0,586677.After_Man?from_search=true&from_srp=true&qid=2kyiHS3BoH&rank=1.after-man-a-zoology-of-the-future
Tales from the Nightside,9780708837139.0,1597650.Tales_from_the_Nightside?from_search=true&from_srp=true&qid=Fg1Gx8vLGg&rank=1.tales-from-the-nightside
The Ship of Widows,9780810111448.0,1020225.The_Ship_of_Widows?from_search=true&from_srp=true&qid=wMIVhjzQu3&rank=1.the-ship-of-widows
The Divine Invasion,9780679734451.0,216398.The_Divine_Invasion?from_search=true&from_srp=true&qid=NH6kodz7CU&rank=1.the-divine-invasion
Antología poética 1923-1977,9788420633183.0,142083.Antolog_a_po_tica_1923_1977?from_search=true&from_srp=true&qid=6KrDA4l5wA&rank=1.antología-poética-1923-1977
Imaro ,9781597800365.0,1535273.Imaro?from_search=true&from_srp=true&qid=25AuDsbwwB&rank=1.imaro
Thus Was Adonis Murdered ,,234327.Thus_Was_Adonis_Murdered?from_search=true&from_srp=true&qid=MlrqKrAMOE&rank=1.thus-was-adonis-murdered
The Maid of the North: Feminist Folk Tales from Around the World,9780805006797.0,497567.The_Maid_of_the_North?from_search=true&from_srp=true&qid=OfDleNGpw0&rank=1.the-maid-of-the-north-feminist-folk-tales-from-around-the-world
A Soldier's Legacy,9780810112025.0,69883.A_Soldier_s_Legacy?from_search=true&from_srp=true&qid=GTVrpDt43D&rank=1.a-soldiers-legacy
Summer in Baden-Baden,9780811215480.0,816971.Summer_in_Baden_Baden?from_search=true&from_srp=true&qid=bAZI27pd6u&rank=1.summer-in-baden-baden
Too Many Songs by Tom Lehrer with Not Enough Drawings by Ronald Searle,9780394749303.0,822364.Too_Many_Songs_by_Tom_Lehrer_with_Not_Enough_Drawings_by_Ronald_Searle?from_search=true&from_srp=true&qid=zAjtcX2wUA&rank=1.too-many-songs-by-tom-lehrer-with-not-enough-drawings-by-ronald-searle
"Good Night, Mr. Tom",9780064401746.0,161099.Good_Night_Mr_Tom?from_search=true&from_srp=true&qid=MmHq5M8mLc&rank=1.good-night-mr-tom
"Women, Race & Class",9780394713519.0,635635.Women_Race_Class?from_search=true&from_srp=true&qid=2HtykQinaV&rank=1.women-race-class
At the Mountains of Madness and Other Tales of Terror,9780345329455.0,32769.At_the_Mountains_of_Madness_and_Other_Tales_of_Terror?from_search=true&from_srp=true&qid=jPPOY8NFzI&rank=1.at-the-mountains-of-madness-and-other-tales-of-terror
The Color Purple,,52892857.the-color-purple
"Life, the Universe and Everything ",9780345418906.0,8694.Life_the_Universe_and_Everything?from_search=true&from_srp=true&qid=sBL7QgkANZ&rank=1.life-the-universe-and-everything
The Gunslinger ,,43615.The_Gunslinger?from_search=true&from_srp=true&qid=nPHGWQyREI&rank=1.the-gunslinger
Different Seasons,9780751514629.0,39662.Different_Seasons?from_search=true&from_srp=true&qid=uSb1whMQat&rank=1.different-seasons
The BFG,9780141311371.0,6319.The_BFG?from_search=true&from_srp=true&qid=uL6UOhS98P&rank=1.the-bfg
Schindler’s List,9780340606513.0,375013.Schindler_s_List?from_search=true&from_srp=true&qid=edeGWhSMKe&rank=1.schindlers-list
The House of the Spirits,9780553383805.0,9328.The_House_of_the_Spirits?from_search=true&from_srp=true&qid=V0P3hz9BwH&rank=1.the-house-of-the-spirits
The Mists of Avalon ,9780345350497.0,40605251.the-mists-of-avalon
The Running Man,9780451197962.0,11607.The_Running_Man?from_search=true&from_srp=true&qid=JmqjAytZSi&rank=1.the-running-man
The Elfstones of Shannara  ,9780736693417.0,987951.The_Sword_of_the_Shannara_and_The_Elfstones_of_Shannara?from_search=true&from_srp=true&qid=fxsAsLq3UX&rank=1.the-elfstones-of-shannara
The Blue Sword,9780441012008.0,407813.The_Blue_Sword?from_search=true&from_srp=true&qid=jEJ7UXyV35&rank=1.the-blue-sword
Foundation's Edge ,9780553293388.0,76683.Foundation_s_Edge?from_search=true&from_srp=true&qid=MeGXgG8E8k&rank=1.foundations-edge
2010: Odyssey Two,9780345413970.0,70539.2010?from_search=true&from_srp=true&qid=jKECo0VvQs&rank=1.2010-odyssey-two
The Valley of Horses ,9780553381665.0,40493.The_Valley_of_Horses?from_search=true&from_srp=true&qid=PLli5ewObD&rank=1.the-valley-of-horses
The Virgin in the Ice ,9780446404280.0,39338911.the-virgin-in-the-ice
A Is for Alibi ,9780312938994.0,64863.A_Is_for_Alibi?from_search=true&from_srp=true&qid=T4vxaXbS9v&rank=1.a-is-for-alibi
North and South ,9780451200815.0,156538.North_and_South?from_search=true&from_srp=true&qid=2GsMPbJNMC&rank=1.north-and-south
A Pale View of Hills,,28920.A_Pale_View_of_Hills?from_search=true&from_srp=true&qid=ekT7nffoyG&rank=1.a-pale-view-of-hills
Howliday Inn ,,443658.Howliday_Inn?from_search=true&from_srp=true&qid=4y7uHjCP4K&rank=1.howliday-inn
Queen of Sorcery ,9780345335654.0,587582.Queen_of_Sorcery?from_search=true&from_srp=true&qid=bhihb4TYNB&rank=1.queen-of-sorcery
The Far Side,9780836212006.0,77281.The_Far_Side_Gallery?from_search=true&from_srp=true&qid=swirzwjXLO&rank=1.the-far-side
Miss Rumphius,9780140505399.0,334818.Miss_Rumphius?from_search=true&from_srp=true&qid=IbJY5SeBhA&rank=1.miss-rumphius
The Skull Beneath the Skin ,9780743222051.0,46019.The_Skull_Beneath_the_Skin?from_search=true&from_srp=true&qid=EMlRjPNlWN&rank=1.the-skull-beneath-the-skin
The Dark Wind ,9780061000034.0,48093.The_Dark_Wind?from_search=true&from_srp=true&qid=9u5ae2xZ2f&rank=1.the-dark-wind
Space,9780449203798.0,70535.2001?from_search=true&from_srp=true&qid=D0D1IXzcb3&rank=1.space
The Sunne in Splendour,9780345363138.0,119829.The_Sunne_in_Splendour?from_search=true&from_srp=true&qid=aAnRBT78I8&rank=1.the-sunne-in-splendour
The Man from St. Petersburg,9780451208705.0,5053.The_Man_from_St_Petersburg?from_search=true&from_srp=true&qid=E7lytJC3p0&rank=1.the-man-from-st-petersburg
